序號,方言差編碼,詞目,鹿港,三峽,臺北,宜蘭,臺南,高雄,金門,馬公,新竹,臺中
622,[方1]0624,男孩子,"查埔𡢃仔　tsa-poo-kán-á, 查埔囡仔　tsa-poo-gín-á; ta-poo-gín-á",查埔囡仔　ta-poo-gín-á,查埔囡仔　tsa-poo-gín-á,查埔囡仔　tsa-poo-gín-á,查埔囡仔　tsa-poo-gín-á,查埔囡仔　tsa-poo-gín-á,查埔囡仔　tsa-poo-gín--á,查埔囡仔　tsa-poo-gín--á,查埔囡仔　ta-poo-gín-á,查埔囡仔　ta-poo-gín-á
623,[方1]0625,么兒、么子,屘仔囝　ban-á-kánn,屘仔囝　ban-á-kiánn,屘仔囝　ban-á-kiánn,屘仔囝　ban-á-kiánn,細漢囝　sè-hàn-kiánn,尾仔囝　bué-á-kiánn,"尾囝　bér-kiánn, 捏尾仔囝　liap-bér-á-kiánn, 煞尾囝　suah-bér-kiánn, 煞尾仔囝　suah-bér-á-kiánn","屘囝　ban-kiánn, 晚囝　mńg-kiánn",屘囝　ban-kiánn,屘仔囝　ban-á-kiánn
624,[方1]0626,小太太,細姨　suè-î,細姨　serè-î,細姨　suè-î,細姨　sè-î,細姨　sè-î,細姨　sè-î,細姨　suè-î,細姨　suè-î,細姨　suè-î,細姨　sè-î
625,[方1]0627,伯公的太太,姆婆　ḿ-pô,姆婆　ḿ-pô,姆婆　ḿ-pô,姆婆　ḿ-pô,姆婆　ḿ-pôr,姆婆　ḿ-pôr,姆婆　ḿ-pô,姆婆　ḿ-pô,姆婆　ḿ-pô,姆婆　ḿ-pô
626,[方1]0628,叔公的太太,嬸婆　tsím-pô,嬸婆　tsím-pô,嬸婆　tsím-pô,嬸婆　tsím-pô,嬸婆　tsím-pôr,嬸婆　tsím-pôr,嬸婆　tsím-pô,嬸婆　tsím-pô,嬸婆　tsím-pô,嬸婆　tsím-pô
627,[方1]0629,姑婆,姑婆　koo-pô,姑婆　koo-pô,姑婆　koo-pô,姑婆　koo-pô,姑婆　koo-pôr,姑婆　koo-pôr,姑婆　koo-pô,姑婆　koo-pô,姑婆　koo-pô,姑婆　koo-pô
628,[方1]0630,姨婆,姨婆　î-pô,姨婆　î-pô,姨婆　î-pô,姨婆　î-pô,姨婆　î-pôr,姨婆　î-pôr,姨婆　î-pô,姨婆　î-pô,姨婆　î-pô,姨婆　î-pô
629,[方1]0631,嫂嫂,兄嫂　hiann-só,阿嫂　a-só,兄嫂　hiann-só,兄嫂　hiann-só,阿嫂　a-sór,兄嫂　hiann-sór,兄嫂　hiann-só,兄嫂　hiann-só,阿嫂　a-só,阿嫂　a-só
630,[方1]0632,親家姆,親姆　tshinn-ḿ,親姆　tshinn-ḿ,親姆　tshinn-ḿ,親姆　tshenn-ḿ,親姆　tshenn-ḿ,親姆　tshenn-ḿ,親姆　tshinn-ḿ,親姆　tshinn-ḿ,親姆　tshinn-ḿ,親姆　tshinn-ḿ
631,[方1]0633,童養媳,新婦仔育　sin-pǔ-á-io,新婦仔　sin-pū-á,新婦仔　sin-pū-á,新婦仔　sin-pū-á,新婦仔　sin-pū-á,新婦仔　sin-pū-á,新婦仔　sin-pū-á,新婦仔　sin-pū--á,新婦仔　sin-pū-á,新婦仔　sin-pū-á
632,[方1]0634,養女,新婦仔　sin-pǔ-á,養女　ióng-lír,養女　ióng-lú,"新婦仔　sin-pū-á, 養女　iáng-lí",新婦仔　sin-pū-á,養女　ióng-lú,養女　ióng-lír,暫無資料　,養女　ióng-lí,養女　ióng-lí
633,[方1]0635,拖油瓶,綴轎後的　tèr-kiǒ-ǎu--ê,綴轎後的　tèr-kiō-ǎu--ê,綴轎後的　tè-kiō-āu--ê,綴轎後的　tuè-kiō-āu--ê,綴轎後的　tuè-kiō-āu--ê,綴轎後的　tuè-kiō-āu--ê,綴轎後的　tèr-kiō-āu--ê,綴轎後的　tè-kiō-āu--ê,綴轎後　tè-kiō-āu ,綴轎後的　tuè-kiō-āu--ê 
634,[方1]0636,頭腦,頭腦　thâu-náu,頭腦　thâu-nóo,頭腦　thâu-nóo,頭腦　thâu-náu,頭腦　thâu-náu,頭腦　thâu-náu,頭腦　thâu-náu,頭腦　thâu-náu,頭腦　thâu-ló,頭腦　thâu-ló
635,[方1]0637,眼屎,目屎膏　ba̍k-sái-ko,目屎膏　ba̍k-sái-ko,目屎膏　ba̍k-sái-ko,目屎膏　ba̍k-sái-ko,目屎膏　ba̍k-sái-kor,目屎膏　ba̍k-sái-kor,目屎膏　ba̍k-sái-ko,目屎膏　ba̍k-sái-ko,目屎膏　ba̍k-sái-ko,目屎膏　ba̍k-sái-ko
636,[方1]0638,乳房,奶　lin,奶仔　lin-á; ne-á,奶　ni,奶　ling,奶　ni; ling,奶　ling,奶　lin,奶　ni,奶　lin,奶　ling
637,[方1]0639,腰,腰　io,腰　io,腰　io,腰　io,腰　ior,腰　ior,腰　io,腰　io,腰　io,腰　io
638,[方1]0640,小指,尾指　bér-tsuínn,不吉　put-kiat,尾指　bé-tsáinn,尾指　bué-tsáinn,"尾指指仔　bué-tsíng-tsáinn-á, 煞尾指　suah-bué-tsáinn",尾指　bué-tsáinn,尾指仔　bér-tsái--á,尾抅仔　bé-niuh--á,尾指　bér-tsáinn; bé-tsáinn,"尾指頭仔　bué-tsíng-thâu-á, 尾指指　bué-tsíng-tsáinn"
639,[方1]0641,腎臟,腰子　io-tsí,腰子　io-tsí,腰子　io-tsí,腰子　io-tsí,腰子　ior-tsí,腰子　ior-tsí,腰子　io-tsí,腰子　io-tsí,腰子　io-tsí,腰子　io-tsí
640,[方1]0642,尿,尿　liǒ,尿　jiō,尿　liō,尿　jiō,尿　jiōr,尿　jiōr,尿　liō,尿　jiō,尿　liō,尿　giō
641,[方1]0643,娶媳婦,娶新婦　tshuā-sin-pū,娶新婦　tshuā-sin-pū,娶新婦　tshuā-sin-pū,娶新婦　tshuā-sin-pū,娶新婦　tshuā-sin-pū,娶新婦　tshuā-sin-pū,娶新婦　tshuā-sin-pū,娶新婦　tshuā-sin-pū,娶新婦　tshuā-sin-pū,娶新婦　tshuā-sin-pū
642,[方1]0644,媒人,媒人　hm̂-lâng,媒人　hm̂-lâng,"媒人　hm̂-lâng, 媒人婆　hm̂-lâng-pô","媒人　muê-lâng, 媒人婆　muê-lâng-pô","媒人　hm̂-lâng; muâi-lâng, 媒人婆　muâi-lâng-pôr",媒人　hm̂-lâng; muê-lâng; muâi-lâng,媒人　hm̂-lâng,媒人　hûn-lâng,媒人　hm̂-lâng,"媒人　muê-lâng, 媒人婆仔　muê-lâng-pô--á"
643,[方1]0645,入贅,"予人招　hǒo-lâng-tsio, 賣大燈　buě-tuǎ-ting",予人招　hông-tsio,予人招　hőng-tsio,予人招　hōo-n̂g-tsio,予人招　hōng-n̂g-tsior,予人招　hōng-n̂g-tsior,賣大燈　buē-tuā-ting,去予人招　khù-hông-tsio,予招个　hōo-tsio--ê,予人招的　hông-tsio--ê
644,[方1]0646,處女,在室女　tsǎi-sik-lír,在室女　tsāi-sik-lír,在室女　tsāi-sik-lú,在室女　tsāi-tsit-lí,在室女　tsāi-sik-lú,在室女　tsāi-sik-lí,在室女　tsāi-sik-lír,在室女　tsāi-sik-lú,在室女　tsāi-sik-lír,在室的　tsāi-sik--ê
645,[方1]0647,生小孩,抾囡仔　khioh-gín-á,"生囡仔　sinn-gín-á, 抾囡仔　khioh-gín-á","生囡仔　sinn-gín-á, 抾囡仔　khioh-gín-á","生囝　senn-kiánn, 抾囡仔　khioh-gín-á","生囡仔　senn-gín-á, 抾囡仔　khiorh-gín-á","生囡仔　senn-gín-á, 抾囡仔　khiorh-gín-á",生囡仔　sinn-gín--á,"生囡仔　sinn-gín--á, 抾囡仔　khioh-gín--á","生囡仔　sinn-gín-á, 抾囡仔　khioh-gín-á(產婆語)","生囡仔　senn-gín-á, 抾囡仔　khioh-gín-á"
646,[方1]0648,滿月,滿月　muá-ge̍rh,滿月　muá-gēr,滿月　muá-ge̍h,滿月　muá-guē,滿月　muá-gue̍h,滿月　muá-gue̍h,滿月　muá-ge̍rh,滿月　muá-ge̍h,滿月　muá-ge̍rh; muá-ge̍h,滿月　muá-gue̍h
647,[方1]0649,做旬,做旬　tsò-sûn,"做七　tsò-tshit, 做旬　tsò-sûn",做旬　tsò-sûn,做旬　tsò-sûn,做旬　tsòr-sûn,做旬　tsòr-sûn,做七日　tsuè-tshit-li̍t ,做七　tsuè-tshit,做七　tsuè-tshit,做七　tsò-tshit
648,[方1]0650,婢女,查某𡢃　tsa̋u-kán,查某𡢃仔　tsa-bóo-kán-á,查某𡢃　tsa̋u-kán,查某𡢃　tsa-bóo-kán,查某𡢃仔　tsőo-kán-á,查某𡢃　tsőo-kán,娘𡢃　niû-kán,查某𡢃　tsa-bóo-kán,查某𡢃仔　tsa-bóo-kán-á,查某𡢃仔　tsa-bóo-kán-á
649,[方1]0651,老姑婆,老姑婆　lǎu-koo-pô,老姑婆　lāu-koo-pô,老姑婆　lāu-koo-pô,老姑婆　lāu-koo-pô,老姑婆　lāu-koo-pôr,老姑婆　lāu-koo-pôr,老姑婆　lāu-koo-pô,老姑婆　lāu-koo-pô,老姑婆　lāu-koo-pô,老姑婆　lāu-koo-pô
650,[方1]0652,單身漢,"十一哥　tsa̍p-it-ko, 羅漢跤仔　lô-hàn-kha-á","孤𣮈的　koo-khu̍t--ê, 羅漢跤　lô-hàn-kha","十一哥　tsa̍p-it-ko, 羅漢跤仔　lô-hàn-kha-á","獨身仔　to̍k-sin-á, 羅漢跤仔　lô-hàn-kha-á","十一哥　tsa̍p-it-kor, 獨身仔　to̍k-sin-á, 羅漢跤仔　lôr-hàn-kha-á","十一哥　tsa̍p-it-kor, 獨身仔　to̍k-sin-á, 羅漢跤仔　lôr-hàn-kha-á","十一哥　tsa̍p-it-ko, 十一叔　tsa̍p-it-tsik, 孤身　koo-sin","羅漢跤　lô-hàn-kha, 十一哥　tsa̍p-it-ko",羅漢跤　lô-hàn-kha,"羅漢跤仔　lô-hàn-kha-á, 十一哥　tsa̍p-it-ko"
651,[方1]0653,看風水的人,風水師　hong-suí-sai,"地理仙　tē-lí-sian, 牽羅經　khan-lô-kinn","地理仙　tē-lí-sian, 風水仙　hong-tsuí-sian","風水仙　hong-tsuí-sian, 牽羅經　khan-lô-kenn","地理師　tē-lí-su, 風水仙　hong-tsuí-sian",地理師　tē-lí-su,風水仙　hong-tsuí-sian,風水仙　hong-tsuí-sian,風水仙　hong-suí-sian,"風水仙　hong-suí-sian, 仙的　sian--ê"
652,[方1]0654,尼姑,尼姑　nî-koo; lî-koo,尼姑　nî-koo,尼姑　nî-koo; luî-koo,"尼姑　nî-koo, 菜姑　tshài-koo","尼姑　nî-koo; lî-koo, 菜姑　tshài-koo","尼姑　lî-koo, 菜姑　tshài-koo",尼姑　lî-koo,尼姑　luî-koo,尼姑　lî-koo,尼姑　nî-koo
653,[方1]0655,女醫生,先生媽　sian-sinn-má,先生媽　sian-sinn-má,先生媽　sian-sinn-má,先生媽　sin-senn-má,先生媽　sian-senn-má,先生媽　sian-senn-má,先生媽　sian-sinn-má,先生媽　sian-sinn-má,先生媽　sian-sinn-má,先生媽　sin-senn-má
654,[方1]0656,助產士,產婆　sán-pô,產婆　sán-pô,產婆　sán-pô,產婆　sán-pô,"助產士　tsōo-sán-sū, 抾囝母　khiorh-kiánn-bú, 產婆　sán-pôr","助產士　tsōo-sán-sū, 抾囝母　khiorh-kiánn-bú, 產婆　sán-pôr",產婆　sán-pô　,產婆　sán-pô　,產婆　sán-pô　,產婆　sán-pô　
655,[方1]0657,做生意,做生理　tsuè-sing-lí,做生理　tserè-sing-lí,做生理　tsuè-sing-lí,做生理　tsò-sing-lí,"做生理　tsòr-sing-lí, 營業　îng-gia̍p",做生理　tsòr-sing-lí,做生理　tsuè-sing-lí,做生理　tsuè-sing-lí,做生理　tsuè-sing-lí,做生理　tsò-sing-lí
656,[方1]0658,夥計,辛勞　sin-lô,辛勞　sin-lô,辛勞　sin-lô,辛勞　sin-lô,辛勞　sin-lôr,辛勞　sin-lôr,"辛勞　sin-lô, 伙計　hér-kì","辛勞　sin-lô, 伙計　hé-kì","辛勞　sin-lô, 倩个　tshiànn--ê","辛勞　sin-lô, 辛勞仔　sin-lô-á"
657,[方1]0659,銀行,銀行　gûn-hâng,銀行　gîrn-hâng,銀行　gûn-hâng,銀行　gîn-hâng,銀行　gîn-hâng,銀行　gîn-hâng,銀行　gûn-hâng,銀行　gûn-hâng,銀行　gûn-hâng,銀行　gîn-hâng
658,[方1]0660,鈔票,銀票　gûn-phiò,銀票　gîrn-phiò,銀票　gûn-phiò,"銀紙　gîn-tsuá, 銀票　gîn-phiò",銀票　gîn-phiòr,銀票　gîn-phiòr,紙字　tsuá-lī,銀票　gûn-phiò,銀票　gûn-phiò,銀票　gîn-phiò
659,[方1]0661,銅錢,銀仔角　gûn-á-kak,銅仙　tâng-sián,銀角仔　gûn-kak-á,銀角仔　gîn-kak-á,銀角仔　gîn-kak-á,銀角仔　gîn-kak-á,"鐳　lui, 錢　tsînn(中間有孔)",鐳　lui,銅仙錢仔　tâng-sián-tsînn-á,銀仔角　gîn-á-kak
660,[方1]0662,旅社,旅社　lír-siǎ,旅社　lír-siā,旅館　lú-kuán,"客棧　kheh-tsàn, 旅社　lí-siā","ホテル　hoo33-te55-luh3, 客棧　kheh-tsàn, 旅館　lí-kuán","ホテル　hoo33-te55-luh3, 旅社　lí-siā, 旅館　lí-kuán",客棧　kheh-tsàn,"旅社　lú-siā, 客棧　kheh-tsàn","旅社　lír-siā, 販仔間　huàn-á-king","旅社　lí-siā, 飯店　pn̄g-tiàm, 客棧　kheh-tsàn, 販仔間　huàn-á-king"
661,[方1]0663,火車,火車　hér-tshia,火車　hér-tshia,火車　hé-tshia,火車　hué-tshia,火車　hué-tshia,火車　hué-tshia,火車　hér-tshia,火車　hé-tshia,火車　hér-tshia; hé-tshia,火車　hué-tshia
662,[方1]0664,生病,破病　phuà-pǐnn,破病　phuà-pīnn,破病　phuà-pīnn,"破病　phuà-pēnn, 艱苦　kan-khóo","破病　phuà-pēnn, 艱苦　kan-khóo","破病　phuà-pēnn, 艱苦　kan-khóo",破病　phuà-pīnn,破病　phuà-pīnn,破病　phuà-pīnn,"破病　phuà-pēnn, 艱苦　kan-khóo"
663,[方1]0665,受寒,"寒著　kuânn--tio̍h, 感著　kám--tio̍h",冷著　líng--tio̍h,寒著　kuânn--tio̍h,"寒著　kuânn--tio̍h, 感著　kám--tio̍h","寒著　kuânn--tio̍rh, 感著　kám--tio̍rh","寒著　kuânn--tio̍h, 感著　kám--tio̍h",寒著　kuânn--tio̍h,寒著　kuânn--tio̍h,寒著　kuânn--tio̍h,"寒著　kuânn--tio̍h, 感著　kám--tio̍h"
664,[方1]0666,中暑,"著痧　tio̍h-sua, 熱著　lua̍h--tio̍h","翕熱　hip-juā, 著痧　tiō-sua","著痧　tio̍h-sua, 熱著　lua̍h--tio̍h","著痧　tio̍h-sua, 熱著　juā--tio̍h","著痧　tio̍rh-sua, 熱著　jua̍h--tio̍rh","著痧　tio̍rh-sua, 熱著　jua̍h--tio̍rh","熱著　lua̍h--tio̍h, 著痧　tio̍h-sua","熱著　jua̍h--tio̍h, 著痧　tio̍h-sua","熱著　lua̍h--tio̍h, 翕著熱　hip-tio̍h-lua̍h","熱著　jua̍h--tio̍h, 著痧　tio̍h-sua"
665,[方1]0668,痲瘋病,癩𰣻　thái-ko,癩𰣻　thái-ko,癩𰣻　thái-ko,癩𰣻　thái-ko,癩𰣻　thái-kor,癩𰣻　thái-kor,"癩𰣻　thái-ko, 痲瘋　bâ-huang",痲瘋症　mâ-hong-tsìng,癩𰣻病　thái-ko-pīnn,癩𰣻病　thái-ko-pēnn
666,[方1]0669,性病,"八腳　pat-kiok, 生檨仔　sinn-suǎinn-á, 梅毒　muî-to̍k",生檨仔　sinn-suāinn-á,"生檨仔　sinn-suāinn-á, 梅毒　muî-to̍k","生檨仔　senn-suāinn-á, 梅毒　muê-to̍k","生檨仔　senn-suāinn-á, 梅毒　muâi-to̍k, 菜花　tshài-hue","生檨仔　senn-suāinn-á, 梅毒　muâi-to̍k","歹囝症　phái-kiánn-tsìng, 垃圾病　lah-sap-pīnn, 垃儳風　lâ-sâm-huang, 梅毒　muî-to̍k, 著毒　tio̍h-to̍k, 生瘡　sinn-tshng　 ","著銃　tio̍h-tshìng, 著毒　tio̍h-to̍k, 生瘡　sinn-tshng",淋病　lîm-pīnn　,"生檨仔　senn-suāinn-á, 癩𰣻病　thái-ko-pēnn　"
667,[方1]0670,夜盲症,雞仔目　kue-á-ba̍k,雞仔目　kere-á-ba̍k,雞仔目　kue-á-ba̍k,雞仔目　ke-á-ba̍k,雞仔目　ke-á-ba̍k,雞仔目　ke-á-ba̍k,雞目　kue-ba̍k,雞目　kue-ba̍k,雞目　kue-ba̍k,雞仔目　ke-á-ba̍k
668,[方1]0671,瞎了,青盲　tshinn-mî,青盲　tshinn-mî,青盲　tshinn-mî,青盲　tshenn-mê,青盲　tshenn-mê,青盲　tshenn-mê,青盲　tshinn-mî,青盲　tshinn-mî,青盲　tshinn-mî,青盲　tshenn-mê
669,[方1]0672,腮腺炎,豬頭爿　tir-thâu-pîng,泛豬頭皮　hàm-tir-thâu-phêr,豬頭皮　tu-thâu-phê,豬頭肥　ti-thâu-puî,"痻愛　in-ài, 豬頭癀　ti-thâu-hông, 豬頭爿　ti-thâu-pîng",豬頭肥　ti-thâu-puî,痻愛　un-ài,痻愛　hun-ài,豬頭皮　tir-thâu-phêr; ti-thâu-phê,豬頭皮　ti-thâu-phuê
670,[方1]0673,遭瘟,著災　tio̍h-tser,著災　tio̍h-tser,著災　tio̍h-tse,著災　tiō-tse,著災　tio̍rh-tse,著災　tio̍rh-tse,著災　tio̍h-tser,著災　tio̍h-tse,著災　tio̍h-tser; tio̍h-tse,著災　tio̍h-tse
671,[方1]0674,中風,斷頭腦筋　tňg-thâu-nóo-kun,中風　tiòng-hong,中風　tiòng-hong,"中風　tiòng-hong, 斷腦筋　tuīnn-náu-kin","中風　tiòng-hong, 斷腦筋　tn̄g-náu-kin","中風　tiòng-hong, 斷腦筋　tn̄g-náu-kin",腦筋斷　náu-kun-tn̄g,斷腦筋　tn̄g-náu-kun,"斷腦筋　tn̄g-náu-kun, 中風　tiòng-hong","斷腦筋　tn̄g-náu-kin, 中風　tiòng-hong"
672,[方1]0675,生瘡,生疥　sinn-kuè,生疥　sinn-kerè,生疥　sinn-kuè,生疥　senn-kè,生疥　senn-kè,生疥　senn-kè,生疥　sinn-kuè,生疥　sinn-kuè,生疥　sinn-kuè,生疥　senn-kè
673,[方1]0676,生瘡,生粒仔　sinn-lia̍p-á,生粒仔　sinn-lia̍p-á,生粒仔　sinn-lia̍p-á,生粒仔　senn-lia̍p-á,生粒仔　senn-lia̍p-á,生粒仔　senn-lia̍p-á,生粒　sinn-lia̍p,生粒　sinn-lia̍p,生粒仔　sinn-lia̍p-á,生粒仔　senn-lia̍p-á
674,[方1]0677,魚鱗瘡,魚鱗𤺅　hîr-lân-tshe̍h,魚鱗𤺅　hîr-lân-tserè,魚鱗𤺅仔　hû-lân-tshè-á,魚鱗𤺅　hî-lân-tshuì,魚鱗𤺅仔　hî-lân-tsheh-á,魚鱗𤺅仔　hî-lân-tshè-á,𤺅仔　tsèr--á,魚鱗𤺅　hû-lân-tsuè,魚鱗𤺅仔　hîr-lân-tsèr-á; hî-lân-tsè-á,魚鱗𤺅　hî-lân-tsuè
675,[方1]0678,枴杖,枴仔　kuái-á,枴仔　kuái-á,枴仔　kuáinn-á,枴仔　kuái-á,枴仔　kuáinn-á,枴仔　kuái-á,"洞葛　tōng-kat, 柺仔　kuái-á",柺仔　kuái-á,柺仔　kuái-á,柺仔　kuáinn-á
676,[方1]0679,泥磚,塗墼　thôo-kak,塗墼　thôo-kat,塗墼　thôo-kak,塗墼　thôo-kak,塗墼　thôo-kat,塗墼　thôo-kak,塗埆　thôo-kat,塗埆　thôo-kat,塗埆　thôo-kak,塗埆　thôo-kat
677,[方1]0680,父親 (敘述),老爸　lǎu-pě,"老爸　lāu-pē, 阿爸　a-pa",老爸　lāu-pē,老爸　lāu-pē,"老爸　lāu-pē, 俺爸　án-pē",老爸　lāu-pē,俺爹　án-tia,老爸　lāu-pē,"老爸　lāu-pē, 阿爹　a-tia, 爸爸　pa-pa","老爸　lāu-pē, 爸爸　pa-pah"
678,[方1]0681,女孩子,查某囡仔　tsa̋u-gín-á,查某囡仔　tsa̋-gín-á,查某囡仔　tsa-bóo-gín-á,查某囡仔　tsa-bóo-gín-á,查某囡仔　tsa-bóo-gín-á,查某囝　tsa-bóo-kiánn,查某囡仔　tsa-bóo-gín--á,查某囡仔　tsa-bóo-gín--á,查某囡仔　tsa-bóo-gín--á,查某囡仔　tsa-bóo-gín-á
679,[方1]0682,公公,大官　ta-kuann,大官　ta-kuann,大官　ta-kuann,大官仔　tuā-kuann-á,大官　ta-kuann,大官　ta-kuann,大官　ta-kuann,大官　ta-kuann,大官　ta-kuann,大官　ta-kuann
680,[方1]0683,眼睛,目睭仁　ba̍k-tsiu-jîn,目睭仁　ba̍k-tsiu-jîn,目睭仁　ba̍k-tsiu-lîn,目睭仁　ba̍k-tsiu-jîn,目睭仁　ba̍k-tsiu-jîn,目睭仁　ba̍k-tsiu-jîn,目睭　ba̍k-tsiu,目睭　ba̍k-tsiu,目睭　ba̍k-tsiu,目睭　ba̍k-tsiu
681,[方1]0684,食指,指指　kí-tsuínn,報路　pò-lōo,"二指　lī-tsáinn, 指指　kí-tsáinn",指指　kí-tsáinn,"二指　jī-tsáinn, 指指　kí-tsáinn","二指　jī-tsáinn, 指指　kí-tsáinn",指指　kí-tsái,指指　kí-tsán,二指　lī-tsáinn,指指　kí-tsáinn
682,[方1]0685,中指,中指　tiong-tsuínn,二指　jī-tsáinn,中指　tiong-tsáinn,中指　tiong-tsáinn,中指　tiong-tsáinn,中指　tiong-tsáinn,中指　tiong-tsái,中指　tiong-tsán,中指　tiong-tsáinn,中指　tiong-tsáinn
683,[方1]0686,道士,"司公　sai-kong, 司孫(背稱)　sai-sun",司公　sai-kong,司公　sai-kong,司公　sai-kong,司公　sai-kong,司公　sai-kong,師公　sai-kong,師公　sai-kong,"師公仔　sai-kong-á (面稱), 師孫仔　sai-sun-á (背稱)","師公仔　sai-kong-á, 道士仔　tō-sū-á"
684,[方1]0687,氣喘,"大氣喘　tuǎ-khuì-tshuán, 痚呴　he-ku",痚呴　he-ku,痚呴　he-ku,"大氣喘　tuā-khuì-tshuán, 痚呴　he-ku","大氣喘　tuā-khuì-tshuán, 痚呴　he-ku","大氣喘　tuā-khuì-tshuán, 痚呴　he-ku","痚呴　he-ku, 哮喘　hàu-tshuán",痚呴　he-ku ,痚呴　he-ku ,痚呴　he-ku 
685,[方1]0688,血崩,拚血　piànn-hiat,拚血　piànn-huih,拚血　piànn-hiat,拚血　piànn-hiat,拚血　piànn-hueh,拚血　piànn-hiat,血暈　hiat-hūn,拚血　piànn-huih,拚血　piànn-hiat,拚血　piànn-hueh
686,[方1]0689,作摺,抾襇　khioh-kíng,抾襇　khioh-kíng,抾襇　khioh-kíng,抾襇　khioh-kíng,抾襇　khiorh-kíng,抾襇　khiorh-kíng,抾襇　khioh-kíng,抾襇　khioh-kán,抾襇　khioh-kíng,抾襇　khioh-kíng
687,[方1]0690,嬰兒,紅嬰仔　âng-inn-á,紅嬰　âng-inn,嬰仔　inn--á,紅嬰仔　âng-enn-á,紅嬰仔　âng-enn-á,紅嬰仔　âng-enn-á,嬰仔　inn--á,暫無資料　,紅嬰仔　âng-inn-á,紅嬰仔　âng-enn-á
688,[方1]0691,說話不清楚,"喑噁　ìnn-ònn, 臭奶呆　tshàu-ling-tai","喑噁　ìnn-ònn, 臭奶呆　tshàu-lin-tai","喑噁　ìnn-ònn, 臭奶呆　tshàu-ni-tai, 鬱口　ut-káu","喑噁　ìnn-ònn, 臭奶呆　tshàu-ling-tai","喑噁　ìnn-ònn, 臭奶呆　tshàu-ni-tai","喑噁　ìnn-ònn, 臭奶呆　tshàu-ling-tai",哦口　ónn-káu,鬱口　ut-káu,喑噁　ìnn-ònn,喑噁　ìnn-ònn
689,[方1]0692,無名指,暫無資料　,愛媠　ài-suí,暫無資料　,暫無資料　,暫無資料　,尾二指　bué-jī-tsáinn,佬仔　láu--á,暫無資料　,暫無資料　,暫無資料　
690,[方1]0693,挾菜,夾　gueh,夾　gereh,夾　ngeh,夾　ngeh,夾　ngeh,夾　ngeh,夾　ngueh,夾菜　ngueh-tshài ,夾菜　ngueh-tshài,夾菜　ngeh-tshài
691,[方1]0694,舀湯,"𣁳　khat, 舀　ió","𣁳　khat, 舀　ió","𣁳　khat, 舀　iúnn","𣁳　khat, 舀　iúnn","𣁳　khat, 舀　iónn","𣁳　khat, 舀　iúnn","舀　iúnn, 𣁳　khat","舀　iúnn, 𣁳　khat","舀　ió, 𣁳　khat","舀　iúnn, 𣁳　khat"
692,[方1]0695,使眼色,使目尾　sái-ba̍k-bér,使目尾　sái-ba̍k-bér,使目尾　sái-ba̍k-bé,捽目尾　sut-ba̍k-bué,使目尾　sái-ba̍k-bué,使目箭　sái-ba̍k-tsìnn,使目尾　sái-ba̍k-bé,使目尾　sái-ba̍k-bé,使目尾　sái-ba̍k-bér,捽目尾　sut-ba̍k-bué 
693,[方1]0696,瞪,睨　gûn,"偓　òo, 睨　gîrn",睨　gîn,睨　gîn,睨　gîn,睨　gîn,睨　gîn,睨　gîn,睨　gîn,睨　gîn
694,[方1]0697,吃,"囫　hut, 孝孤　hàu-koo, 食　tsia̍h, 嗄　sah","囫　hut, 孝孤　hàu-koo, 食　tsiā","囫　hut, 孝孤　hàu-koo, 食　tsia̍h","囫　hut, 孝孤　hàu-koo, 食　tsiā, 推　thui, 嗄　sah; sà","囫　hut, 孝孤　hàu-koo, 食　tsia̍h, 推　thui, 嗄　sà","囫　hut, 孝孤　hàu-koo, 食　tsia̍h, 推　thui, 嗄　sà","食　tsia̍h, 囫　hut, 喋　sah","食　tsia̍h, 囫　hut, 嗄　sà, 推　thui, 孝孤　hàu-koo","食　tsia̍h, 囫　hut, 推　thui, 噼　piah","食　tsia̍h, 囫　hut, 推　thui"
695,[方1]0698,喝,啉　lim,啉　lim,啉　lim,"呵茶　ha-tê, 食茶　tsia̍h-tê, 啉　lim","呵茶　ha-tê, 食茶　tsia̍h-tê, 啉　lim, 灌　kuàn",啉　lim,啉　lim,"食　tsia̍h, 啉　lim","啉　lim, 哈　hah",啉　lim
696,[方1]0699,嘔,𫝞　bǔ,𫝞　bū,𫝞　bū,𫝞　bū,𫝞　bū,𫝞　bū,𫝞　bū,𫝞　bū,𫝞　bū,𫝞　bū
697,[方1]0700,咬,咬　kǎ,咬　kā,咬　kā,咬　kā,咬　kā,咬　kā,咬　kā,咬　kā,咬　kā,咬　kā
698,[方1]0701,咀嚼,哺　pǒo,"哺　pōo, 嗕　ngauh","哺　pōo, 嗕　nauh",哺　pōo,哺　pōo,哺　pōo,哺　pōo,哺　pōo,哺　pōo,哺　pōo
699,[方1]0702,伸舌頭,"吮　tsňg, 舐　tsǐnn, 吶舌　nǎ-tsi̍h",舐　tsī,舐　tsīnn,"吮　tsuīnn, 舐　tsīnn, 吶喙舌　nā-tshuì-tsī","吮　tsn̄g, 舐　tsīnn, 吶喙舌　nā-tshuì-tsi̍h","舐　tsīnn, 吶　nā",舐　tsī,舐　tsīnn,舐　tsīnn,舐　tsīnn
